VN2() X,VN2() Y
1,0.009136172937032222
1.584893192461114,0.00567502199646957
2.511886431509581,0.003539483065433102
3.981071705534974,0.002216696061557551
6.309573444801934,0.001394045511967735
10,0.0008803348698191518
15.84893192461114,0.0005582130616054436
25.11886431509581,0.0003553857958811092
39.81071705534975,0.0002271441068003476
63.09573444801936,0.0001457284255194902
100.0000000000001,9.383254388793722e-05
158.4893192461115,6.062223016791785e-05
251.1886431509582,3.928605962435603e-05
398.1071705534976,2.552291032185892e-05
630.9573444801939,1.66039984574098e-05
1000.000000000001,1.078863284666549e-05
1584.893192461115,6.958964389008234e-06
2511.886431509583,4.392925857400033e-06
3981.071705534978,2.631073773076776e-06
6309.573444801941,1.413883274945015e-06
10000.00000000001,6.377689828640457e-07
15848.93192461116,2.354876216449319e-07
25118.86431509584,7.439579880827801e-08
39810.71705534979,2.155527550280133e-08
63095.73444801944,6.02816919750513e-09
100000.0000000002,1.674117990732358e-09
158489.3192461117,4.688841825073349e-10
251188.6431509586,1.337666625205184e-10
398107.1705534981,3.918037401431058e-11
630957.3444801947,1.186202634073994e-11
1000000.000000002,3.731131220816965e-12
1584893.192461117,1.222446490002371e-12
2511886.431509587,4.169721800471971e-13
3981071.705534983,1.475992970696763e-13
6309573.44480195,5.397525387111205e-14
10000000.00000003,2.031432271553104e-14
15848931.92461118,7.866752567860401e-15
25118864.31509588,3.154271561724805e-15
39810717.05534985,1.325152844030641e-15
63095734.44801953,5.829792230681539e-16
100000000.0000003,2.561620364258092e-16
158489319.2461119,1.038217844381673e-16
251188643.1509589,3.750740120244478e-17
398107170.5534986,1.235947365535848e-17
630957344.4801955,3.876737539763055e-18
1000000000.000004,1.27188476945068e-18
1584893192.461119,4.665115465501247e-19
2511886431.50959,1.854292637161562e-19
3981071705.534988,7.731010183135053e-20
6309573444.801957,3.284043467846697e-20
10000000000,1.411354185142107e-20
