VN2() X,VN2() Y
1,0.00534519523874772
1.584893192461114,0.003316600930629467
2.511886431509581,0.002066249701994796
3.981071705534974,0.001292591085499886
6.309573444801934,0.0008119752549171427
10,0.000512185758886008
15.84893192461114,0.0003244145699083218
25.11886431509581,0.0002063156932431696
39.81071705534975,0.0001317287638924791
63.09573444801936,8.442866485579149e-05
100.0000000000001,5.431142360907044e-05
158.4893192461115,3.505883007982289e-05
251.1886431509582,2.270330864219775e-05
398.1071705534976,1.474259593420982e-05
630.9573444801939,9.591364781657624e-06
1000.000000000001,6.240075949796793e-06
1584.893192461115,4.041832300173648e-06
2511.886431509583,2.579224181591179e-06
3981.071705534978,1.583583911956977e-06
6309.573444801941,8.929383580270075e-07
10000.00000000001,4.324623157341906e-07
15848.93192461116,1.716871851797242e-07
25118.86431509584,5.708174844793695e-08
39810.71705534979,1.700621158386245e-08
63095.73444801944,4.82300803245808e-09
100000.0000000002,1.350127488754489e-09
158489.3192461117,3.804794632750692e-10
251188.6431509586,1.092382811128447e-10
398107.1705534981,3.223278160611796e-11
630957.3444801947,9.842220676412251e-12
1000000.000000002,3.124924287921158e-12
1584893.192461117,1.033679049795302e-12
2511886.431509587,3.558235880010027e-13
3981071.705534983,1.270126114773398e-13
6309573.44480195,4.681277758936994e-14
10000000.00000003,1.777044901944508e-14
15848931.92461118,6.966679766488838e-15
25118864.31509588,2.853492801367037e-15
39810717.05534985,1.24217266020914e-15
63095734.44801953,5.722848900775648e-16
100000000.0000003,2.62921230410959e-16
158489319.2461119,1.113995222924364e-16
251188643.1509589,4.253066620689437e-17
398107170.5534986,1.460818328476351e-17
630957344.4801955,4.455647622197891e-18
1000000000.000004,1.394818060323864e-18
1584893192.461119,4.841652439312392e-19
2511886431.50959,1.810920795134091e-19
3981071705.534988,7.167563555751106e-20
6309573444.801957,3.016830099127463e-20
10000000000,1.37572382091819e-20
