VN2() X,VN2() Y
1,0.005345194824891455
1.584893192461114,0.003316600714567509
2.511886431509581,0.002066249631030783
3.981071705534974,0.001292591141053324
6.309573444801934,0.0008119754474826516
10,0.0005121861301507452
15.84893192461114,0.0003244152127260051
25.11886431509581,0.0002063167368957968
39.81071705534975,0.0001317304567209972
63.09573444801936,8.443140366605955e-05
100.0000000000001,5.431585122799916e-05
158.4893192461115,3.506601051538613e-05
251.1886431509582,2.271499064797622e-05
398.1071705534976,1.476165169991024e-05
630.9573444801939,9.622506869748966e-06
1000.000000000001,6.290968881314223e-06
1584.893192461115,4.124634817941114e-06
2511.886431509583,2.711948004296094e-06
3981.071705534978,1.788268135235342e-06
6309.573444801941,1.18282174501866e-06
10000.00000000001,7.850325940189037e-07
15848.93192461116,5.230640358163548e-07
25118.86431509584,3.500864879222612e-07
39810.71705534979,2.354485324682612e-07
63095.73444801944,1.589697935872722e-07
100000.0000000002,1.072337595262671e-07
158489.3192461117,7.121718649450195e-08
251188.6431509586,4.500194700786325e-08
398107.1705534981,2.553527288508328e-08
630957.3444801947,1.233233807952807e-08
1000000.000000002,5.088062541842413e-09
1584893.192461117,1.902021813551081e-09
2511886.431509587,6.820762500795809e-10
3981071.705534983,2.400854781913933e-10
6309573.44480195,8.176970049728043e-11
10000000.00000003,2.562743846074151e-11
15848931.92461118,6.877904378852497e-12
25118864.31509588,1.511935892905254e-12
39810717.05534985,2.779092212809457e-13
63095734.44801953,4.479023955980798e-14
100000000.0000003,6.503464592431833e-15
158489319.2461119,8.80641598096127e-16
251188643.1509589,1.264006498768375e-16
398107170.5534986,2.199162636320834e-17
630957344.4801955,4.510309688580147e-18
1000000000.000004,1.284813301461091e-18
1584893192.461119,4.529166165603196e-19
2511886431.50959,1.707061715940476e-19
3981071705.534988,6.619068780347367e-20
6309573444.801957,2.621599280946455e-20
10000000000,1.073580963297758e-20
